hiperparametry,wynik_zbior_1,wynik_zbior_2,wynik_zbior_3,wynik_zbior_4,model,mean_result
"{'classifier__l1_ratio': 0.6992481203007519, 'classifier__C': 1.4137608138073614}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.9448621553884711, 'classifier__C': 172.0239724793599}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.48872180451127817, 'classifier__C': 0.00015867234973483178}",0.7,0.706513687600644,0.8845389429423557,0.6788240698208543,LogisticRegression,0.7424691750909636
"{'classifier__l1_ratio': 0.07017543859649122, 'classifier__C': 0.00013191699564735717}",0.7,0.706513687600644,0.8845389429423557,0.6797427652733119,LogisticRegression,0.7426988489540779
"{'classifier__l1_ratio': 0.07017543859649122, 'classifier__C': 0.0002517691457037277}",0.7,0.706513687600644,0.8845389429423557,0.6797427652733119,LogisticRegression,0.7426988489540779
"{'classifier__l1_ratio': 0.8120300751879699, 'classifier__C': 520.9451270253212}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.09523809523809523, 'classifier__C': 2875.058040944877}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.12280701754385964, 'classifier__C': 5.149670581618343}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.41604010025062654, 'classifier__C': 1438.44988828766}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.6766917293233082, 'classifier__C': 5.647805074067546}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.6867167919799498, 'classifier__C': 0.2446082935796798}",0.7,0.7490764724020968,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7533625125407526
"{'classifier__l1_ratio': 0.16290726817042606, 'classifier__C': 0.05846787276937589}",0.7,0.7474113475177304,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7529462313196609
"{'classifier__l1_ratio': 0.2706766917293233, 'classifier__C': 1.3499752754264296}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.8897243107769424, 'classifier__C': 0.0010057875736205835}",0.7,0.706513687600644,0.8845389429423557,0.6795590261828204,LogisticRegression,0.7426529141814551
"{'classifier__l1_ratio': 0.9874686716791979, 'classifier__C': 0.00039948801939541706}",0.7,0.706513687600644,0.8845389429423557,0.6790078089113459,LogisticRegression,0.7425151098635864
"{'classifier__l1_ratio': 0.8145363408521302, 'classifier__C': 59.48892077934331}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.06766917293233082, 'classifier__C': 98.85245709128282}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
